name,height,long,lat
Ben Nevis,1344.0,-5.003525651089863,56.79683368336282
Ben Macdui [Beinn Macduibh],1309.0,-3.6690998266598975,57.07038600558826
Braeriach,1296.0,-3.7285806614788384,57.07817728037758
Cairn Toul,1291.0,-3.7107900159742013,57.05441469610487
Sgor an Lochain Uaine,1258.0,-3.7257967153680154,57.05837774435181
Cairn Gorm,1244.8,-3.6444782471441526,57.11672228791694
Aonach Beag,1234.0,-4.954123671482873,56.799984470327715
Aonach Mor,1221.0,-4.961746233574281,56.812917059079055
Carn Mor Dearg,1220.0,-4.986616523663081,56.80522208773649
Ben Lawers,1214.0,-4.220861306953878,56.544924817105134
Beinn a'Bhuird North Top,1197.0,-3.4993870641951137,57.08759104503621
Carn Eige [Carn Eighe],1183.0,-5.115129220008492,57.28768977552147
Beinn Mheadhoin,1182.9,-3.611466054303765,57.095857670024685
Mam Sodhail,1179.4,-5.120269578493371,57.27978678809095
Stob Choire Claurigh,1177.0,-4.84962970306799,56.823775719667914
Ben More,1174.0,-4.540111930396919,56.38595112746525
Ben Avon - Leabaidh an Daimh Bhuidhe,1171.0,-3.4344276265075253,57.099357676489674
Stob Binnein,1165.0,-4.535762190398379,56.3707254734722
Beinn Bhrotain,1157.0,-3.7238126865716468,57.00987800437733
Lochnagar - Cac Carn Beag,1156.0,-3.2452529000230435,56.960277090382746
Derry Cairngorm,1155.0,-3.6220061595502506,57.0628111779921
Sgurr nan Ceathreamhnan [Sgurr nan Ceathramhnan],1151.0,-5.22273145414608,57.254893964849536
Sgurr na Lapaich,1151.0,-5.059748152590767,57.36930789289095
Bidean nam Bian,1150.0,-5.029348843828381,56.64272694071492
Ben Alder,1148.0,-4.465103809941529,56.81379675568608
Geal-Charn,1132.0,-4.509756489812634,56.837835030174425
Ben Lui [Beinn Laoigh],1130.0,-4.810528242474011,56.397003229354596
Binnein Mor,1130.0,-4.925797586373171,56.75434613099226
An Riabhachan,1129.0,-5.104732347039779,57.36242418600045
Creag Meagaidh,1128.0,-4.602097271932955,56.952036894778416
Ben Cruachan,1127.0,-5.131844883425448,56.42681658809205
Meall Garbh,1123.0,-4.207715262917784,56.566125049132054
Beinn a'Ghlo - Carn nan Gabhar,1121.9,-3.6880043042871495,56.83985057677093
A'Chraileag [A'Chralaig],1120.0,-5.154842792126388,57.18422770915402
Sgor Gaoith,1118.0,-3.810853905988967,57.06856872059829
An Stuc,1117.0,-4.216265964876958,56.56009521694102
Stob Coire an Laoigh,1116.0,-4.8849117228238885,56.810865277201145
Aonach Beag,1115.7,-4.529188340795406,56.83349689722677
Stob Coire Easain,1115.0,-4.773715990553169,56.81817339676702
Monadh Mor,1113.0,-3.7501008939795875,57.026799596233985
